machine,matrix_name,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
intel-Desktop,bmw7st_1,133.136,122.708,121.553,130.66500000000002,143.1715,139.1855,113.6735,126.805
intel-Desktop,bmwcra_1,120.2175,153.54250000000002,132.513,156.9835,162.7775,156.44799999999998,140.3035,153.3465
intel-Desktop,bodyy4,90.1138,85.86580000000001,87.60884999999999,94.4324,86.22205,94.77485,93.2209,67.49449999999999
intel-Desktop,bodyy5,74.09880000000001,67.64840000000001,60.55305,80.33109999999999,51.6075,,71.78495000000001,69.7433
intel-Desktop,bodyy6,64.98849999999999,70.66955,43.01675,68.89555,67.48400000000001,69.18254999999999,63.80875,61.12755
intel-Desktop,bone010,109.1185,141.894,108.164,139.917,144.2695,138.219,131.2875,125.498
intel-Desktop,boneS01,107.842,137.6485,120.4155,146.4155,141.4305,129.9925,110.999,112.783
intel-Desktop,boneS10,107.569,157.2565,129.2575,158.0005,156.5925,153.95499999999998,129.513,125.8575
intel-Desktop,boyd1,17.02485,19.0869,,20.32085,20.08845,16.86455,20.74315,19.15245
intel-Desktop,boyd2,9.91312,8.881754999999998,,9.26479,7.755195,7.731339999999999,7.987215000000001,8.067250000000001
intel-Desktop,brack2,34.06155,31.8071,37.70285,34.42875,37.1919,39.5204,30.80275,29.43945
intel-Desktop,brainpc2,26.9534,32.88935,33.1515,30.16645,33.7973,34.716300000000004,33.57715,31.8045
intel-Desktop,bratu3d,30.6489,35.905100000000004,32.61565,32.4025,33.218999999999994,29.46025,30.10215,32.21535
intel-Desktop,bundle1,64.47035,66.67305,111.9675,63.27015,83.82650000000001,,74.74215,98.89055
intel-Desktop,bundle_adj,54.06605,38.729600000000005,,42.60425,36.84835,45.3116,39.71165,53.23305
intel-Desktop,c-29,169.9105,144.2385,182.869,177.41750000000002,201.049,,145.28,148.4395
