machine,matrix_name,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
athena.skylake,c-48,40.2436,127.886,63.9448,114.368,129.332,134.858,56.9908,36.896
athena.skylake,c-49,50.3285,76.4394,90.6266,100.177,96.1422,112.584,46.5061,42.4384
athena.skylake,c-50,41.1579,62.783,65.8969,69.5511,82.7604,,41.0341,37.8051
athena.skylake,c-51,44.7289,74.7227,89.9482,74.9122,88.1949,100.253,43.8414,37.7414
athena.skylake,c-52,57.9764,99.482,99.7223,95.5775,80.7282,109.821,47.425,33.9608
athena.skylake,c-53,24.9544,81.4381,29.307,56.5535,76.0557,74.0604,25.0672,24.9766
athena.skylake,c-54,42.9548,70.9722,57.5992,66.9149,74.009,,39.4645,29.2021
athena.skylake,c-55,35.2429,77.2463,71.5386,78.868,89.4494,89.578,37.5462,38.3767
athena.skylake,c-56,26.4974,66.2809,56.0147,69.5776,69.2898,72.8138,25.3068,25.2288
athena.skylake,c-57,21.1646,43.0144,22.1458,42.1626,59.6145,37.3646,33.5077,20.4726
athena.skylake,c-58,26.6742,44.8703,31.9111,57.541,64.2634,72.5927,37.5656,40.4669
athena.skylake,c-59,32.2893,53.5631,56.4962,61.3635,77.1064,74.2076,34.5492,30.8885
athena.skylake,c-60,33.2774,45.9114,48.0702,44.9538,55.9292,52.3739,28.4355,28.5979
athena.skylake,c-61,29.7945,50.7709,51.4708,56.2536,53.7978,57.161,33.1818,27.5201
athena.skylake,c-62,31.994,68.3397,67.6369,64.534,74.4599,79.4841,40.6155,42.4052
athena.skylake,c-62ghs,32.4807,62.0168,69.7335,64.4508,73.9177,81.3894,40.2753,42.3653
athena.skylake,c-63,34.0972,61.9371,64.0431,58.4413,69.6136,66.7001,33.554,28.1282
athena.skylake,c-64,16.3364,41.3238,17.9312,33.4519,49.598,32.131,17.8473,18.8784
athena.skylake,c-64b,16.1991,33.0712,18.0311,33.8061,48.3432,31.8387,17.89,18.4009
athena.skylake,c-65,31.1401,52.625,51.5095,51.5801,56.5682,56.2933,32.5592,26.9517
athena.skylake,c-66,23.7233,54.4502,48.9945,49.4617,66.4529,58.8219,32.6876,24.5514
athena.skylake,c-66b,23.4048,56.1313,49.1078,50.0211,66.7782,59.9792,26.6795,24.6597
athena.skylake,c-67,18.3,32.4444,24.3879,40.2942,52.9583,51.4401,19.8455,19.4663
athena.skylake,c-67b,18.218,42.6122,24.5752,40.0746,52.2173,49.3332,19.9284,19.4991
